model,rep,method,alpha,penalize_diag,target,lambda,edges,F1,MCC,TP,TN,FP,FN,KL,L2,SP,PRAUC,ROCAUC
7,1,rope,0.2,TRUE,vIdentity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.35,TRUE,vIdentity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.5,TRUE,vIdentity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.65,TRUE,vIdentity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.8,TRUE,vIdentity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.2,TRUE,Eigenvalue,1,4950,0.115003808073115,NA,302,0,4648,0,101.13345538657056,31.72646841589874,10.705243746660734,0.673967268080946,0.9381490009232768
7,1,rope,0.35,TRUE,Eigenvalue,1,4950,0.115003808073115,NA,302,0,4648,0,101.13345538657056,31.72646841589874,10.705243746660734,0.673967268080946,0.9381490009232768
7,1,rope,0.5,TRUE,Eigenvalue,1,4950,0.115003808073115,NA,302,0,4648,0,101.13345538657056,31.72646841589874,10.705243746660734,0.673967268080946,0.9381490009232768
7,1,rope,0.65,TRUE,Eigenvalue,1,4950,0.115003808073115,NA,302,0,4648,0,101.13345538657056,31.72646841589874,10.705243746660734,0.673967268080946,0.9381490009232768
7,1,rope,0.8,TRUE,Eigenvalue,1,4950,0.115003808073115,NA,302,0,4648,0,101.13345538657056,31.72646841589874,10.705243746660734,0.673967268080946,0.9381490009232768
7,1,rope,0.2,TRUE,MSC,1,4950,0.115003808073115,NA,302,0,4648,0,21.80838935979847,45.400326133819256,12.85879472065066,0.6703128593000045,0.9220507859251575
7,1,rope,0.35,TRUE,MSC,1,4950,0.115003808073115,NA,302,0,4648,0,21.80838935979847,45.400326133819256,12.85879472065066,0.6703128593000045,0.9220507859251575
7,1,rope,0.5,TRUE,MSC,1,4950,0.115003808073115,NA,302,0,4648,0,21.80838935979847,45.400326133819256,12.85879472065066,0.6703128593000045,0.9220507859251575
7,1,rope,0.65,TRUE,MSC,1,4950,0.115003808073115,NA,302,0,4648,0,21.80838935979847,45.400326133819256,12.85879472065066,0.6703128593000045,0.9220507859251575
7,1,rope,0.8,TRUE,MSC,1,4950,0.115003808073115,NA,302,0,4648,0,21.80838935979847,45.400326133819256,12.85879472065066,0.6703128593000045,0.9220507859251575
7,1,rope,0.2,TRUE,Regression,1,4950,0.11504761904761904,NA,302,2,4646,0,70.37035760514061,24.231219463341368,7.1851511963536225,0.7005949724531769,0.9541524660610274
7,1,rope,0.35,TRUE,Regression,1,4950,0.11504761904761904,NA,302,2,4646,0,70.37035760514061,24.231219463341368,7.1851511963536225,0.7005949724531769,0.9541524660610274
7,1,rope,0.5,TRUE,Regression,1,4950,0.11504761904761904,NA,302,2,4646,0,70.37035760514061,24.231219463341368,7.1851511963536225,0.7005949724531769,0.9541524660610274
7,1,rope,0.65,TRUE,Regression,1,4950,0.11504761904761904,NA,302,2,4646,0,70.37035760514061,24.231219463341368,7.1851511963536225,0.7005949724531769,0.9541524660610274
7,1,rope,0.8,TRUE,Regression,1,4950,0.11504761904761904,NA,302,2,4646,0,70.37035760514061,24.231219463341368,7.1851511963536225,0.7005949724531769,0.9541524660610274
7,1,rope,0.2,TRUE,TrueDiag,1,4950,0.11502570938868786,NA,302,1,4647,0,86.80562376750026,20.192399488796067,4.898150815672724,0.7057754577086373,0.9573924838426554
7,1,rope,0.35,TRUE,TrueDiag,1,4950,0.11502570938868786,NA,302,1,4647,0,86.80562376750026,20.192399488796067,4.898150815672724,0.7057754577086373,0.9573924838426554
7,1,rope,0.5,TRUE,TrueDiag,1,4950,0.11502570938868786,NA,302,1,4647,0,86.80562376750026,20.192399488796067,4.898150815672724,0.7057754577086373,0.9573924838426554
7,1,rope,0.65,TRUE,TrueDiag,1,4950,0.11502570938868786,NA,302,1,4647,0,86.80562376750026,20.192399488796067,4.898150815672724,0.7057754577086373,0.9573924838426554
